groupID,number of issues,Issue Discussions<3,Issue Discussions<4,Issue Participant<2,Issue Participant<3,Duration = 0,Duration > 20,Duration > 30,Issue Delayed,SilentUser Num,RelaxedUser Num,Issue wo Milstone,percentage missing due,percentage of unclosed,issueswolabels,issueswomilestones
1,38,0.84375,0.875,0.90625,1,0.289473684,0.052631579,0,0.12,0.5,0,0.342105263,0.235294118,0.058823529,0.657894737,0.315789474
2,35,0.705882353,0.882352941,0.823529412,1,0.428571429,0.085714286,0.028571429,0,0,0,0.285714286,0.25,0,0.2,0.285714286
3,62,0.277777778,0.416666667,0.305555556,0.666666667,0.322580645,0.35483871,0.225806452,0,0,0,0.709677419,0.2,0,0.483870968,0.709677419
4,98,0.9375,0.96875,0.96875,1,0.540816327,0.102040816,0.102040816,0.367088608,0,0,0.142857143,0.263157895,0.368421053,0.142857143,0.142857143
5,57,1,1,1,1,0.403508772,0.228070175,0.122807018,0,0.25,0.25,0.824561404,0.142857143,0.428571429,0.280701754,0.789473684
6,86,0.637931034,0.862068966,0.724137931,0.982758621,0.465116279,0.011627907,0.011627907,0.313953488,0,0,0,0.2,0.2,0,0
7,87,0.323529412,0.485294118,0.485294118,0.764705882,0.413793103,0.022988506,0.011494253,0.327868852,0,0,0.252873563,0,0,0.195402299,0.252873563
8,90,0.646153846,0.769230769,0.815384615,0.923076923,0.355555556,0.055555556,0.011111111,0.416666667,0,0,0.066666667,0.25,0,0.1,0.055555556
9,52,0.707317073,0.951219512,0.87804878,1,0.288461538,0.211538462,0.134615385,0.08,0.25,0,0.038461538,0.222222222,0,0.153846154,0.019230769
10,85,0.727272727,0.909090909,0.787878788,0.96969697,0.247058824,0.376470588,0.352941176,0.476190476,0.25,0.25,0,0.333333333,0,0.035294118,0
11,32,0.625,0.875,0.833333333,1,0.28125,0.3125,0.15625,0.5,0.25,0,0.1875,0,0.333333333,0.3125,0.1875
12,56,0.780487805,0.902439024,0.829268293,0.951219512,0.285714286,0.035714286,0,0,0.5,0.5,0.142857143,0.083333333,0.083333333,0.160714286,0.142857143
13,53,0.756756757,0.945945946,0.783783784,0.972972973,0.679245283,0,0,0.454545455,0.25,0.5,0.547169811,0.5,0.5,0.528301887,0.528301887
14,96,0.566666667,0.833333333,0.8,0.966666667,0.666666667,0,0,0,0,0.25,0.6875,0.142857143,0,0.447916667,0.6875
