groupID,number of issues,Issue Discussions<3,Issue Discussions<4,Issue Participant<2,Issue Participant<3,Duration = 0,Duration > 20,Duration > 30,Issue Delayed,SilentUser Num,RelaxedUser Num,Issue wo Milstone,percentage missing due,percentage of unclosed,issueswolabels,Nonlinearity Score
1,19,0.733333333,0.8,0.8,1,0.263157895,0,0,0.083333333,0,0.25,0.368421053,0.2,0,0.2,0.855383051
2,32,0.666666667,0.866666667,0.8,1,0.375,0.0625,0,0.15,0.25,0,0.3125,0.25,0.375,0,0.841711036
3,39,0.277777778,0.333333333,0.277777778,0.666666667,0.538461538,0.128205128,0,0,0,0,0.615384615,0.25,0.5,0.43902439,0.723569247
4,97,0.949152542,0.983050847,0.983050847,1,0.639175258,0,0,0.420289855,0,0,0.144329897,0.333333333,0.2,0.147058824,1
5,39,1,1,1,1,0.641025641,0,0,0,0.25,0,0.794871795,0.333333333,0.666666667,0.494252874,0.989666952
6,60,0.485714286,0.8,0.628571429,1,0.4,0,0,0.45,0,0.25,0,0.2,0.4,0.428571429,0.833412467
7,51,0.27027027,0.540540541,0.513513514,0.864864865,0.450980392,0.019607843,0,0.27027027,0.25,0.25,0.274509804,0,0,0.486486486,0.963335131
8,66,0.627906977,0.697674419,0.744186047,0.906976744,0.348484848,0.015151515,0,0.321428571,0,0,0.03030303,0.333333333,0.333333333,0.193548387,0
9,43,0.705882353,0.941176471,0.911764706,1,0.418604651,0.11627907,0,0.028571429,0.25,0,0.023255814,0.5,0,0.605263158,0.731883173
10,55,0.666666667,0.875,0.75,0.958333333,0.509090909,0,0,0.326530612,0.25,0,0,0.4,1,0.136842105,0.985868958
11,28,0.588235294,0.882352941,0.823529412,1,0.357142857,0.107142857,0,0.5,0.25,0,0.178571429,0,0.5,0.196078431,0.925798714
12,39,0.724137931,0.896551724,0.793103448,0.931034483,0.282051282,0.025641026,0,0.375,0,0.5,0.179487179,0.111111111,0.111111111,0,0.96993707
13,47,0.794117647,0.970588235,0.823529412,1,0.659574468,0,0,0.526315789,0.25,0.5,0.510638298,0.466666667,0.466666667,0,0.751522316
14,89,0.535714286,0.821428571,0.785714286,0.964285714,0.651685393,0,0,0,0,0.25,0.741573034,0.2,0,0.03125,0.972934184
