id,time,sha,user,message
1,1456894146,86f60dc67e4d453535eef74bc2c0d760190b7bf9,group6/user3,removing sample.json from app home; temp file
2,1456893559,b0cfae70d55a44091966e314eac80e147fe6fc91,group6/user4,fixed background alignment
3,1456892976,37e2b069433699586dc98189fb56f499af477dd5,group6/user4,added total review count to display
4,1456892808,408a831c2307ec4b2a3c7f3e631951cdd4236f44,group6/user2,Minor update in milestone
5,1456891923,174f38dd67d1e35d4502f0ff0e534050c4b6d170,group6/user4,redesigned the search and display page; added reviews
6,1456885727,424209a024acdd03929bf315b2457ac0abe63ea0,group6/user1,Update README.md
7,1456885636,9c45d32708f0fc32b24d2eea0e99e569da50627b,group6/user1,Update README.md
8,1456885489,1096b51ef14ea6f3239f38568caba6e377fcafa9,group6/user1,Update README.md
9,1456885078,8e552ba73e2cd49bc68ba3b02005bc88a2083eca,group6/user1,Updated the evaluation plan in the read me file
10,1456884354,13e4f0b9664d214e02571433e1ddeb741d7fb19a,group6/user1,Added the evaluation plan in the read me file
11,1456880389,8cf6fa813f3a90b88c10fe881de6b822645afeba,group6/user3,added hyperlink to ratings
12,1456879390,0577f02b783b1024e18f9b58ca6886295654ffb5,group6/user2,Updated Readme
13,1456878978,5205156a8e53b31c4f62cb40e57fb50bae944a0b,group6/user4,added no. of reviews and changed styling
14,1456878815,fbeddbe387356371a60a08ea2eccff2c16c93a18,group6/user2,Updated readme file with code base directory
15,1456877771,c64e9d622ad6ac905e772b43f34100324b3cf1fa,group6/user4,sample telemetry data log for plugin
16,1456877712,78db461698392a6c1f55004434de4ed1a029b66a,group6/user1,added telemetry sample files pdf
17,1456877523,1ab35bf5e1fe9d99ec8b9d1aa404413d3c620a0d,group6/user3,sample log data for user overview
18,1456877346,b122e5f3a96e4e044e0649e8710f086971867050,group6/user2,Adding sample log data from user trial
19,1456876577,2e851bb940df5d161d9bcf0c75c098d8082e76da,group6/user3,added pagination to the list view of restaurants
20,1456875201,8fbdd85bf07fa4599270e01ae620dafcaf103f60,group6/user2,"Updated readme file with logging information

Using google analytics information for log. As of now we don't have much statistics as deployment has been just done but going forward we will have large logs"
21,1456875129,b71e03d7d9fdaafa057cec25efe5d927cf2969a3,group6/user1,deleting temporary files
22,1456874227,5319694ba41bb23b4764f601347e1e525a8f7304,group6/user2,Delete the temporary readme
23,1456872316,77439bfb9f73e9d94ecbfdd0ca45aac6bcdebde8,group6/user2,Update README.md
24,1456865998,fca377f4b97b5e856a4ec4ef15e369c64065ddd7,group6/user1,removed compilation python files
25,1456842424,3b48fa749c9b71949fe82552fd634644c2996715,group6/user1,updated json file
26,1456842034,7c5dcbd6c961099acd2124b20ae026c0b8907ed1,group6/user1,added additional restaurants in csv file
27,1456840918,83b2bd8a6d2b017b4f9aeca01cef399cbc5e4c96,group6/user1,code cleanup and minor variable changes for the keys
28,1456840215,12b7625d1a6de31d7b232ae8c8fd14c40630fd0d,group6/user1,updated demo time
29,1456795379,d6487dc24fb57e07266cff5f063c29076ab0ea17,group6/user1,updates to the individual poc
30,1456790259,2cdfe53c60940c34b9c534693c8794729b5c3e4c,group6/user4,corrected aggregate calculation fixes #55
31,1456781962,0959ff1ab4ffe7310bdb3804c5bbea6bf2d9ec49,group6/user4,get JSON data and display ratings including aggregate
32,1456740284,6fdef88bc193e562c3ace8e625275d550035b8eb,group6/user3,extract individual reviews from db
33,1456737763,84ebf38db477a06888dfd4b8bfdf19f58bb02aae,group6/user2,modification in strings xml file
34,1456737689,73b491f3a831e519a40a7652427dd8b280ea214d,group6/user2,layout modification
35,1456734712,6b7f6cfc316feaaec035e035adbe80f5afb8ce5e,group6/user2,non clickable rating bar with reduced step size
36,1456734405,303647fd779b8b7776850031fabef26ee108968f,group6/user2,edit text for main activity
37,1456733114,d0d0901efa7c0124b4398ec1a84893bf9cb530a4,group6/user3,resize the thumbnail fixes #54
38,1456732214,59fd2fe4acfe664f2f5a4018d9cb0dd0baa6146f,group6/user4,added code to parse ratings and display in a pop-up
39,1456731537,39454cc83ff15828f8ab76362c5ea6bd74f0be90,group6/user2,updated manifest file
40,1456731292,b6676828c31b840bff7e7aacb2554a2fac0f9232,group6/user2,MainActivity data store and string add
41,1456727538,6c23b90821c724a740da556f9bb9da5fe4e35320,group6/user2,Menu list addition
42,1456727333,d2951288fa0a630e360b8652366d3483b6018147,group6/user2,layout design for each of the item or restaurant view
43,1456725911,073007cf24b955c26f2d076308e87768e3c10d27,group6/user2,Launch new activity on click of restaurant in list
44,1456725709,8d1e3b2d5ce67ccf6de4b0db80c5618f5c04656a,group6/user2,data holder class for storing the the parsed data in hashmap
45,1456725496,e1cc0e4ac94dbe87cd03b182ae4431bed9fee9d8,group6/user2,getter and setter methods to fetch data in another activity
46,1456712848,7697c23f9af7a726c5f4983af7d00dff55cb9bea,group6/user3,added hyperlink to thumbnail
47,1456710247,6050f0c1b77f1fb47ff8f424b46641c0ad061067,group6/user3,fixed the weighted average calculation fixes #52
48,1456709268,2c4951679d4996d54a126ab48c9936cc86b21cf1,group6/user3,added ratings count to schema and script closes #53
49,1456708317,54cfbf6a1424624dd82ba2e0f8865d96cbbcbef8,group6/user4,fixed fractional stars display on review page
50,1456707637,666caffd3449223cf4db761df1972f1665bdac42,group6/user4,fix stars display issue
51,1456668342,e6e2fba4969094071f365c5d23a517dd5336799f,group6/user1,added photo url links to the restaurants json closes #49
52,1456654542,7f65385bca3ff13a1273c4ce1295c90bb8124a51,group6/user4,added aggregate metric
53,1456654394,9df2c4e8e6f9ead91c1dba6fc429bfc964525344,group6/user4,added visual star to ratings
54,1456651878,b016425eaa7d830dab092d8bd850076fb5c59b22,group6/user4,page for displaying individual reviews closes #3
55,1456650888,5a14c3afe93439142f6eb771f2207c082aee3176,group6/user4,changed homepage design to new specs
56,1456647587,52389468cc06ac525c0c5be14f21bd5f1b7f3044,group6/user3,Sample output file for reviews
57,1456646545,470b8c8c8621c64f097a9b579c0a9548288eec8f,group6/user3,update migrate script to support thumbnail url
58,1456646458,0b52af42a2a6e99b817abcbe1b93ff82daed2c5f,group6/user3,Added image to restaurant index views closes #46
59,1456643202,512bff4bae438da40a09ab705c634aaccf8d5bc9,group6/user3,script to migrate json data to rails db closes #45
60,1456642824,6a803620f1fb8f68dcee40010d95d5ab3cf6783d,group6/user4,display/ search list of restaurants
61,1456637631,252024cb769cd389eac45dcb713a483ce6cf959e,group6/user2,Fetching real time data from amazon s3
62,1456631806,a70593ed00b55153fa11dbc28d6c421614828bdb,group6/user1,Added code to push the json file to Amazon s3 closes #43
63,1456621142,7de7d63c503e77b950677ccdf793b72d9488c991,group6/user4,added migrations for yelp/TA/FS closes #9
64,1456607406,552b5d0f9d56c1449facf83f522b7d54b864c85e,group6/user3,added resto_scrapper controller
65,1456601689,36b1190d0df0b58b7cac06daf270f826a3b126b2,group6/user2,search box implementation
66,1456600707,f2e1a9c7050bfee6a8d8afd70d505caaf6b4e67c,group6/user2,Layout modification
67,1456417132,679e1d2e58bca07bae19399ca6b1aa73b6184dc8,group6/user1,updated json file
68,1456416598,0ca8983f091fe8629ff5fd4845061ca784267bc2,group6/user1,added code to remove unnecessary unicode characters from the reviews closes #40
69,1456165672,f5f713d32d03f6fd2ce712ee6ce110512b7b6dda,group6/user1,added individual module code and output json
70,1456155978,7e3c19276cb202dbf8c708a2e45e8d1519be76d7,group6/user1,adding code to crawl the reviews closes #19
71,1456132536,75ab7d65135425330b01a8fc517cca7edb8b235b,group6/user2,delted duplicate folder
72,1456131906,12ab14f3f17880cd214cfd4ade858c31b946a151,group6/user2,initial commit
73,1456131642,6b695823ca333e14c63853431f7180d5fa7d2ec4,group6/user2,initial commit android solution closes
74,1456127197,fed481e621923b1a0567827c5ac0b2627eafcaff,group6/user3,added schema file for webscrapper app
75,1456125053,fb5055e2edc7b2c093235813f62785459aee9702,group6/user3,Create a webscrapper app for frontend closes #35
76,1456096324,5850eba3bac8fe586ccd21be34a6ac5962921b47,group6/user1,added url to sample json output
77,1456094086,e426318bb30f7cac6e67d0a1eae550adcc5925f2,group6/user3,updated the name of the sample output file
78,1456093633,2ffdbf4a61f95f664f9efb1d2f89e1cc832b974d,group6/user4,added basic popup structure closes #19 and #26
79,1456093971,3c4cf9a09c58509c9193555b5c3f17c065ac21f7,group6/user3,renamed sample json file
80,1456093691,ecce55883048ad5498029bbd326dd360c4cc3aad,group6/user3,formatted the sample json file ouput
81,1456093171,48de589132b8527d821dd41897d6b09f5a12f8db,group6/user1,Update sample_json.txt
82,1456092994,a71d433432bcc6f33330ffc70a80b02881b2b10f,group6/user1,Update sample_json.txt
83,1456092257,08e0891a2ac7307720e16645cc2c3c62d3485531,group6/user4,added logo fixes #18
84,1456092159,90fb6fe2eb6cbb48fd392fbd449673012690824f,group6/user3,stub dir for webscrapper frontend
85,1456091796,b4bcaaf1edfbeb1141322bdde565a08d8f347681,group6/user1,crawler script for fetching ratings closes #6
86,1456090944,dce61af04ceeebca2281cbf27c7f2cc20ee7ec62,group6/user3,added foursquare links
87,1455907302,5c22dbd24b564301a76899e3b8e5065702e508f4,group6/user4,added manifest
88,1455846378,2ba1f03e6b0f3d06dea17837bc2999e3a7ffa9a9,group6/user1,Rename sample_json.txt to samples/sample_json.txt
89,1455829641,514fe3a82cf2835c57b030235ed8ce357ed98356,group6/user1,"Sample JSON

Sample text file containing the JSON format for storing the reviews"
90,1455828792,d88c5018d1efe4d3fadb3eb1f269b267739caa43,group6/user4,Update README.md
91,1455828726,18d14d43f40bcdd3d3bbc355b43417f59fc138d5,group6/user4,Update README.md
92,1455828404,24c666bc9de3f7db3226e7d459ca10e93f9445a5,group6/user3,sample csv file for review URL from different websites closes #12
93,1454601396,9f06be6c21e8ce695ee211d30fb0434716e4ac99,group6/user1,"Update README.md

Contents for Mar 1 deliverable"
94,1454365734,5979257304bc3150989c7e232bcc3f577d5183ec,group6/user2,Merge branch 'master' of https://github.com/moharnab123saikia/CSC510-group-f
95,1454365648,9ceecefce30b2dac2b212769d250976ed1913c5b,group6/user2,Updated feb1 report
96,1454365071,475544226f5416db91d0ee486b38a4b77d7f5bb6,group6/user4,Update README.md
97,1454364998,fdd6b65204a29335c235a46684db14ca7b2783f6,group6/user2,Update README.md
98,1454364983,86004ee0f914a277890a7453bcea87dd08d7b20f,group6/user2,"Updated Readme.md

Added the project description"
99,1454320124,1ebcc523d505b522773696fb16dbfddcf9027ed8,group6/user2,Report for Feb1 Deliverable
100,1452293386,323b1b81e9b637c2f7e94c896b7e9c52ddd16fcc,group6/user3,Initial commit : created README.md
