id,time,sha,user,message
1,1460066175,9cc936589b14778e7b5280dadf7c826df99b65bb,group10/user4,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
2,1460066171,e625cc9c01385fe8880d2af32fbcc476f9cc798f,group10/user4,fix readme
3,1460059763,1b61983393ea70e072d6107103312db268dc65c9,group10/user5,fix Readme
4,1460059197,b546f06c87baead49fb8bb7c916162bc099178a1,group10/user5,fix Readme
5,1460059085,65806e02974758cb3d964efed956b6fc453acf06,group10/user5,fix Readme
6,1460059009,9f806086ed984a8f24db034e293ef89b7e974e6e,group10/user5,fix Readme
7,1460058866,96ae7f81be8012b4e7555db4aadd909a72c7b312,group10/user5,fix Readme
8,1460058817,745d538918c35bca04ef2af1d612ebb458e217ee,group10/user5,fix Readme
9,1460058724,f7ed85ee1050ffcdbbd90efe74d138ba5b4e2f5a,group10/user5,fix Readme
10,1460058599,defb18f5210604d97124b8e7f6bfe3390d17eabd,group10/user5,fix Readme
11,1460057793,bad5a042ca6d5745f53188349ec5e332e1f8d790,group10/user5,fix Readme
12,1460057558,71224363f5a602afb53f1e376339badcae58635a,group10/user5,fix Readme
13,1460057430,3c5c32cb12cda5c38903b681a62250d554c942b7,group10/user5,fix Readme
14,1460057112,269748daf260668eacd9a120bb8b74e103d410e5,group10/user5,fix Readme
15,1460056852,8504fd5ac528fb864457e431b9fabe8447330f96,group10/user5,April Readme
16,1460056363,2f99e6e0440428e014cb4405135d7f323da624f6,group10/user5,April Readme
17,1460055165,0c4eea59d5e6f7c388d6821fc509b2f17df2ed6d,group10/user5,April Readme
18,1460054036,6f6f04bbd64d5d2c6e07c9118b276a72cb9f3ca2,group10/user5,April Readme
19,1460053581,045e054d374d12ba016f081880bfd0dcbdd713c8,group10/user5,April Readme
20,1460052968,f059147f40e9798dee4571a944a34ea4929af6ab,group10/user3,delete idea file
21,1460052860,ec56de3fc18ba0ba4dd0da937d030bdc40946aef,group10/user5,Delete Solutions
22,1460052821,5f82271f7bae3945bbfff51b5cfa4a5f804ba785,group10/user5,April Readme
23,1460052586,6a2a55f9009818d1a9fc78f1211874fef4b5e4b3,group10/user5,Delete hello
24,1460052572,70d4154f9d7f6b37851aa38862fb170373d93c16,group10/user5,Delete Solution
25,1460052539,d7f4fb6bd943dc0516da0ae583603b93877b2b0d,group10/user5,April Readme
26,1460051487,aa6237291081ede6f8af7c69123f2d2c89614a82,group10/user3,add image
27,1460051391,5f2d8510a7ba93760cdf21087f6da706d3b2db79,group10/user3,edit README
28,1460051100,91db452f72a89dec43b2e687d2812a811abdbcf5,group10/user3,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
29,1460051058,6b93f672971fed61081410affc9e4fba8d48e675,group10/user3,edit solution 2 readme.md
30,1460050533,4ad187b910103f398c61e3db6c21efc3bd85157f,group10/user5,folder
31,1460043273,17fb9764cf5d85416262ad7ac904307a492cb10a,group10/user1,SAWM results
32,1460040190,197af8d989bd148e797e276b6f964668bbb74397,group10/user4,fix solution1 readme file
33,1460040137,8309776e203fc19d4906f152e9599fd6159f37d8,group10/user4,fix solution1 readme file
34,1460040007,72d2c225d0a93b9b598ffc54bc9e01d01c733436,group10/user4,edit solution1 readme file
35,1460002564,6c40d3b4b69d17361b2f10ae8d21e4b58506690f,group10/user1,presentation
36,1460002293,9d68a7dc0a4edfa5aa2d6045465a1dc4dca47447,group10/user1,Changing folder structure
37,1459989580,701adbb29fcd5c1aca5797090b5c7255a7babb11,group10/user1,Read me file
38,1459989088,fb7d9aaf4e23566befa655c14b7dbb1fc7427e84,group10/user1,Read me file
39,1459985738,e8a87b2a0861f040d76185410ae4115462bce4b6,group10/user1,Added user data file
40,1459961226,26d26b4996058e13c106b8f7fb912a1741753dd7,group10/user1,readme s for april and may
41,1459961102,ced40d76dbea2a1e9f77e89f18369f10c1e11d03,group10/user1,"Boxplots, t-tests and anova"
42,1459889141,f6af8935cce3c01d0e4652c73058c83a0eb55ad2,group10/user4,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
43,1459889126,1a0f792938c179cfeb5a36b2a76294452b3f2e46,group10/user4,done
44,1459738496,58b8be31e7f31a85e441a8efc8d5da9bb7fc555e,group10/user3,modify solution 2
45,1459729343,c406affa9df8b1b26a5c1a28e1c2af63cc221e6f,group10/user4,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
46,1459729336,ea9d24e000435312e7bce4047e75024cbb3b37f0,group10/user4,small things fixed
47,1459720709,500e0a96ce577993adb1a899883dcf35bdf1b41d,group10/user1,Create Post Survey
48,1459702051,5861e144202e69ff28713ee33a34b2f867f96ecd,group10/user1,Update User test for 3 solutions
49,1459667328,175b04670bd62e59323843e2dce6578dc869f74f,group10/user4,done
50,1459666265,d679b685c6aa9d20f01f1693084d6bc12077d55d,group10/user4,function done
51,1459567086,82a8f3d82b70ec8a5f48f904ec23cbabd7cabb1a,group10/user3,solution1 version2
52,1459563160,b988ad697e23bb155b98e8512ebff56328159f3a,group10/user5,Update User test for 3 solutions
53,1459563107,facd0bc8ed54a5e6aa1396e3ac963f1cc24071f6,group10/user5,update user test
54,1459563037,20af8e01142c05f58e82f7999a76a2afd146f62f,group10/user5,update user test
55,1459562990,5f2d29ebdaf49ae6759ae35c312f8fe74c8ac576,group10/user5,update user test
56,1459562924,cf605df5a5d07ed3f93facf7b0588c99cf72624e,group10/user5,Delete SE User test .pdf
57,1459562869,f8937162770b2a8cd33a0f93a08aec2b122e3516,group10/user5,update user test
58,1459562544,456d2336052576b1566fcf436d7b6533d75d5042,group10/user3,solution1 version 1
59,1459561468,cebf45bc257280116ac013bb549a33460579b8a9,group10/user5,Delete SE User test .pdf
60,1459555834,0ff54ef9738fe1c05263267a7b553278677f1592,group10/user3,almost finished
61,1459540903,7729c3c93b13323cbfc3b221dcbd615e50c4052b,group10/user5,update user test
62,1459540758,388f031088a0cc692b0c32d58eccfa6502630b40,group10/user5,update user test
63,1459538001,e18f53bb85a2dc65b2861398a6072bd909f1275a,group10/user3,implement travel time calc function
64,1459537380,131294d106213ae214b0cf7064effaaa4fabd2d0,group10/user5,Update User test for 3 solutions
65,1459537257,479081e9e312c52eb519d6b411e1d88025b706b7,group10/user5,Update User test for 3 solutions
66,1459537121,3010d8e58f68e4d9729c6f712f66a3cde6446cf4,group10/user4,make source code readable and store lonlat of select place in a array for derection and list
67,1459516402,882ccc2ef95e750828ecdbebde5a53a12f860741,group10/user3,add path time function
68,1459480553,904bbade163cfb967f33f41d97dde87340825dce,group10/user5,Update User test for 3 solutions
69,1459480503,2ccee7353d2def42ceb42f06b8325013d91cc61b,group10/user5,Update User test for 3 solutions
70,1459479712,c3f89475ac838cff4ca3fbef689f8780ce953405,group10/user5,Update User test for 3 solutions
71,1459479682,0ef2477cc33044c1b33b3d41f9d7ff864c1dac3a,group10/user5,Update User test for 3 solutions
72,1459479567,9883f3874ea8ec9e517574cafdddfebf80565bad,group10/user5,Update User test for 3 solutions
73,1459478725,106296f3f68e8b7cb4d120570a9aa2896aba156b,group10/user4,store places which user select from nearby search and hide other markers
74,1459470387,ea558ce6eac27d60ff13aaebd28fe708b6f0a3cb,group10/user4,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
75,1459470377,791c2bfee0cffeb5d85aafe78bdcadc619571832,group10/user4,click times and keybord input characters count
76,1459394239,7a7c68272e62f19d6c2491bead3e076614783ce0,group10/user5,Update User test for 3 solutions
77,1459390211,db53d43de9c2f98fc90a27d899d586a1510a9943,group10/user5,Create User test for 3 solutions
78,1459286908,6025a8678038560107e9963da71275b60e67a3d7,group10/user5,arrange folders
79,1459286745,95befdbafb1f6c78d25d2968d45da4d4c450f5cb,group10/user5,Update and rename What we have in Solution_2 to What we have in Solution_3
80,1459286529,b0929a71ebc46d6b49a3e29894ad922cfadd18a1,group10/user5,arrange folders
81,1459286039,b5416c960822b1ea0e3eb107a576e19623cb86c2,group10/user5,solution-Ye
82,1459111259,08a7a329a55e1b8872fe2e88dff2797e14d55905,group10/user4,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
83,1459111242,d3d4b1b817910e5f9bace99051b6d55d7c531619,group10/user4,user chose a searched place and search nearby whatever he wants
84,1459110554,fa59a92c7bd5a60ac69b189b7071305c4378990a,group10/user3,add nearby parking and restaurant
85,1458517250,6ecaa6358f6aa80de54fe873cac6282176817cee,group10/user1,Adding timeline to the project
86,1457042448,805736a7eef1b939ef30eccfe97400079023a8ac,group10/user4,implement autocomplete in search box
87,1457038467,fcd2f322a99712dcb3f15dd5b5e59a73127436d0,group10/user4,add hint in search box
88,1457032134,6be261ed391787ae973edf17eaccd2592f0dc950,group10/user1,fixing repo
89,1457029985,1a946b156988868e456b95b052c5da4fc1dfa327,group10/user1,fixing readme
90,1456993018,a5cbc530aa9f4c4516f4aeb02ffc509b99f1227e,group10/user3,add sol1-demo
91,1456992841,0116c020c787d5aad2d0be69205881d06ce210b8,group10/user3,sol1
92,1456952122,0720a4dedc700bf9c1f5b753dad5eb443732c1c3,group10/user4,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
93,1456952119,7d7458e57ff1624949a3a7b43c87500c11db414e,group10/user4,fix some bugs
94,1456946499,4552677b78cfc952648dee5a71eca15f7441c95b,group10/user4,Update README.md
95,1456939760,62dcda28826083d654bbbecfe4e9a323f7973efe,group10/user1,Update README.MD
96,1456938604,203da52cc0c326e8ee813e6f83589d4946bba0dc,group10/user5,Update README.MD
97,1456938390,979e1934651b1fe8b94c07c484488d40c47e017b,group10/user5,Update README.MD
98,1456938290,3c97e4a62dbf21ae3cd0f9431568e65bda0e589d,group10/user5,Update README.MD
99,1456937762,cf110794a7fc93ed1bae688634966a751d14e93f,group10/user5,Update README.MD
100,1456937237,a88313c0cbe781545610b172975a5d02759d903e,group10/user1,adding pictures in readme telemetry
101,1456937015,0863de7ec247e376578bcb229a1a3bd20fb211de,group10/user1,adding pictures in readme telemetry
102,1456936973,6ad3ea8b2c499763b0ad30068e6ca943b6bf7ecd,group10/user4,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
103,1456936948,226b786d736540867db2a4c2a32157a79b4c004a,group10/user4,fix some bugs
104,1456936742,62a909b51bdbbf463b38c3075f2a2cbeeb0272c8,group10/user1,adding pictures in readme telemetry
105,1456936626,e36fca73099a36d5bce193febbcbf67fedc7f12a,group10/user1,adding pictures of telemetry
106,1456936450,5771ffcc75382009d6e8b9346076af6c3180a08f,group10/user4,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
107,1456936428,d212beb97e281cb1ba065e696457464ad8497c51,group10/user4,fix some bugs
108,1456936216,5cf3d8f89c0ffbd45e1f47bee81172e4afb2d428,group10/user1,adding telemetry link
109,1456935577,1144f52c216c1691898f8ef08d2572d03be421d6,group10/user1,adding telemetry link
110,1456935415,a6c95ef437f688182d13cd6880037421a9c015bc,group10/user4,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
111,1456935396,ed760c436b52ca2c8b9fec259c53ee44806d1b17,group10/user4,make web beautiful
112,1456935115,ee60cda87e65f51f9ecce9196b63dbdf0275a5e4,group10/user1,Solution 1 readme
113,1456935045,2856c7d5306bbfbc9a9d764183d1ba000820f675,group10/user1,Solution 1 readme
114,1456934723,f78ab1a0395008d49c7c44f00029a06687972e43,group10/user1,adding format to Ye's readme
115,1456934299,64ef7e8e0b890cfde721512b2b39185f7c7f796c,group10/user1,Adding telemetry file
116,1456934070,487d370c538337496db662e08d8a3c2a78e8f1e2,group10/user1,Adding few files
117,1456932423,df0b5f6e2567993a5473612d0f67e7491b11eefe,group10/user1,updating mar 1 readme
118,1456931733,60fe7c1e03b6fcc5bbbd9553e8a6da3289e3326a,group10/user1,Readme for mar 1 deliverable
119,1456930995,ad643144d3f1750cf32bc1bdfacd61549a815479,group10/user1,CHanging readme for itinerary
120,1456930858,2a76ac97507a991706f31dde6cf5bb5622adb0f5,group10/user1,Putting readme file for solution 3
121,1456930247,2c6de3b267f691b1761cbf1eda5bc335115decac,group10/user1,Making current solution 2 to solution 3
122,1456929887,f53a3d321cafd557c5ac2d749b7fb4630e1a1f81,group10/user5,Create Readme
123,1456891906,94ec2c3acf29f7b368cc4b319e2ade4a7d387344,group10/user1,Modified readme
124,1456891514,ddff21aa879848c5ee6f6dccc1a05417b7b6e81d,group10/user1,Merge branch 'master' of https://github.com/arnabsaha1011/mypackse
125,1456891489,4dc00277ecc09ebc48e9afafb9f19d239918775f,group10/user1,Modified readme file
126,1456792289,5e174d560b0353a39ff15a33fd776cd8dca20c7f,group10/user5,push demo map
127,1456788649,08413f42aeb5d7a9e83b82b32e9e67b5f0e182a3,group10/user1,Remove the place on clicking X
128,1456781770,0d91e95a2fb704b12a9039972f20beddcb0275bd,group10/user5,push demo test
