id,name
1,Questions for the TA
2,Solid solutions considered so far
3,Problems faced and new features Literature Survey
4,Questions for Students
5,Limiting the scope of our problem
6,Design
7,UI Design
8,Finalized solutions
9,UI components Student View- wireframes to be designed
10,UI components Instructor view - wireframes to be designed
11,API endpoints - Common
12,API endpoints - TA
13,API endpoints - Instructor
14,Documentation
15,Personal tasks
16,Database design
17,Add-on feature
18,Create basic template for postgresql schema
19,Create server boiler plate
20,Create front-end boiler plate
21,Database schema
22,Login
23,login page
24,Login API
25,Deadlines 
26,Deadlines
27,Schema merge
28,Authentication mechanism
29,courses api
30,deadlines api
31,UI for deadlines list view
32,Creating new assignment
33,HW details + submission page
34,DB changes-password field added
35,Login fixes
36,submission and assignment details page
37,API for courses
38,Assignment details API
39,Implemented deadlines API
40,feedback api
41,Stats dashboard api
42,evaluate api
43,create assignment api
44,creating assignment ui
45,evaluation ui
46,Stats dashboard ui
47,deadlines changes
48,deadlines
49,grades view
50,assignment list view ui
51,Implemented assignment details API
52,File upload mechanism
53,evaluation page
54,File upload mechanism
55,login integration
56,login corrections
57,Evaluation handler get api
58,add course ui
59,add course api
60,Discussions board API
61,Dev vivek
62,Minor fixes
63,All API for evaluation
64,courses list view corrections
65,TA -create new assignment UI 
66,Add course API
67,Merge issue resolved
68,Student Assignment Submission
69,Submission page
71,Implemented stats api
72,Stats UI 
73,PDF.js to view/edit the pdf documents
74,Create assignment api
75,create assignment ui
76,Misc. issues
77,Fixes in create assignment
78,Fixes in create assignment #77
79,corrections in assignment creation
80,Fixes in create assignment
81,create assignment file upload fixes
82,Assignment attachment file upload
83,File upload
84,deadline view changes and integration
85,Minor fixes
86,Submissions page ui and api integration
87,deadlines page issues
88,Integrations
89,dummy data
90,evaluate ta view
91,Submission filetype check
92,Instructor login
93,Replace files instead of appending to list
94,Report -Latex management
95,Report - evaluation
96,Report - data visualization
97,Report - feature discussion and synopsis 
