id,time,sha,user,message
1,1460070863,ce9933fffd37f167e4c2e70656b97cdbd395dc2c,group2/user1,Tel Fix
2,1460070744,c50a322095775bc4861963cb711138f4f8604573,group2/user1,T fix
3,1460070635,368a1372d08f488682baf99c737b9d27154711cb,group2/user1,T Fix
4,1460070470,8809cc4b4f31aa6e1cbf3d112b130310d13d8179,group2/user1,Fix
5,1460070390,84ae3ca3fe6f75493c6c7418d5d2fa0de9bbfd39,group2/user1,Added Telemetry
6,1460069775,6d76f166e063518b25b937f9cd3e68cfc133c28f,group2/user1,Added Telemetry
7,1460068535,6cdc7efc2690c20b62fc7dc33b796e51b57635f5,group2/user1,Added Answer Fetch
8,1460057852,3a6b355be34e3052d0d665be5559a3c24e31986d,group2/user1,Fixed Structure
9,1460057770,e450f98b9af686d0d3eca44fb5f57782a927910c,group2/user1,Plugin Updated
10,1460057736,090991cfa03b16e828f196ccdf671f20fbbf3ebb,group2/user1,Updated Plugin
11,1460057690,3649ae8940477512fdebd6817baac3575dea80a0,group2/user1,Updated Plugin
12,1460057410,0b18e515d544734aeb92198391785b69ef0f60ee,group2/user1,Fixed Directory Structure
13,1460057359,453a7fc9e8b15f15ddc9e52e690f91defe1123f8,group2/user1,Fixed DStruct
14,1460057271,471f0db7f36455b0fb4681701308c3b266b20004,group2/user1,Fixed Directory Structure
15,1460010876,2999eaadfa9d411370a0f91ca7b823a0fe3f8676,group2/user1,Added Telemetry AUTO
16,1459999642,5b69262781a5fdd2ac76e2b571c10cc9f0671bd6,group2/user1,DOne
17,1459999222,67f199810b73cbe420a9003e55b2f1f5c2052023,group2/user1,Fixed Clustering
18,1459998335,a26d8c6a1c9307c0361d32a7d209a9e778b5c971,group2/user1,SOl3 Fixed
19,1459986881,9fd36b2e26357b0719483c7b34fc12c04e41cd46,group2/user1,Added Background data collection
20,1459922492,ede377c05a76fbf615dc812165cf2ff18adbc2d4,group2/user1,Modifeid Clustering
21,1459834682,ccb4907b3dbca1c96e2bb3997675e74bae5cc2cb,group2/user1,updated clustering for tokenization
22,1459830094,7b80399507f6632dfd16833661a7c4179221393c,group2/user1,Sol3 Fix
23,1459406721,2ae70fe35a2985856b823f3a265a53284d061467,group2/user1,Hasher Fix
24,1459406007,aa1e005f33c27240364d7abb7b63725f09e81943,group2/user1,Modified Bagofwords.py
25,1459403531,efef81498f5f870285bcbb179a3fcfc99f143cac,group2/user1,Bug Fix
26,1459402592,04dcc0cfac0f14e0c1c4ffbcd18167cafb64104b,group2/user1,Bug Fix
27,1459238990,662d8268d8702049c0ec866af2a1d484a50cdef2,group2/user1,Simhash filter in progress
28,1459238485,00178f23850e80b81472f9f46108deb199ab1df6,group2/user1,Added simhash
29,1459210355,a08348367f377ad66a86c96ab906a1357007529e,group2/user1,Solution 3 init
30,1459210102,883ed6925f2ebe282f3ee9295437e172f9e30050,group2/user1,Filters Added
31,1457077054,cbeddfea90cd323f4280e98f005b1c428acd2701,group2/user2,"Merge branch 'solution2' of https://github.com/ankitkumar93/csc510-se-project into solution2

Conflicts:
	kmeans.py"
32,1457077025,fe77a3f748b9bc55ce5dec0385d1eebea9476add,group2/user2,updating k means file
33,1457076858,8b060ed7bf62ac40a943e7552be1a24b1f2e7c7b,group2/user2,adding updated data file
34,1457068390,a2aaf530b49d582b02fd5e8ff24c548b74f7acf5,group2/user1,Sol2 Integrated
35,1457066704,5bdcad59118c64d08bc4494bdbb323e8f88a8dac,group2/user5,updating lda model file
36,1457066573,0dddfb120a55d29cbfb31b81088d9ed080285fc6,group2/user5,adding new stopwords to the file
37,1457066388,fc9df06e0d930aa3f20e21d80feed9cc39d59cd9,group2/user5,changing kmeans algo
38,1457066054,2860000ca1a25cf26c380bf84c57fd4949748014,group2/user2,updating stopwords file
39,1457065970,9f4abfe285a298ed76ae54ff635ced6c18302067,group2/user2,updating kmeans file
40,1457065868,4ae7225bd16137c97a820645e4d3bc2ac2ff9253,group2/user2,adding solution 2 data file
41,1457060204,015277ca77b2374772edc713bcd62f6e558dd266,group2/user2,updating kmeans file
42,1457059241,068a07fb56b8eba4abcf6c895961209e21bca0b6,group2/user2,updating kmeans file
43,1457056150,4e08e08194294f9c423d44d6666d32e481ba14fc,group2/user2,adding kmeans file
44,1457046897,4a20a79ae567cbeacaef73ef4b2884f260d488ed,group2/user1,Solution 2 Added Interfacace
45,1456890882,ba76549ba18d76b7082361dc3f8baad95cbd1045,group2/user1,March 1 Done
46,1456890662,e0adee5b0bcc1a6b7d69c19be9f071b24dc404a8,group2/user1,Fixed Survey Response link
47,1456890569,9b41b2d58461587167cac3534156c29d695b4b9b,group2/user1,Fixed Survey Link Indentation
48,1456890526,7e84ce1dae567069d724eb2f2ed63a18db35d684,group2/user1,Added Survey Links
