groupID,users,actions
group11,user4,14
group11,user2,41
group11,user3,16
group11,user1,57
group10,user6,2
group10,user7,2
group10,user4,58
group10,user5,44
group10,user2,71
group10,user3,19
group10,user1,200
group13,user4,9
group13,user2,111
group13,user3,7
group13,user1,46
group12,user4,66
group12,user5,4
group12,user2,24
group12,user3,165
group12,user1,25
group14,user4,20
group14,user2,147
group14,user3,77
group14,user1,96
group5,user4,68
group5,user2,14
group5,user3,21
group5,user1,107
group4,user4,88
group4,user5,1
group4,user2,99
group4,user3,155
group4,user1,94
group7,user4,18
group7,user5,7
group7,user2,144
group7,user3,37
group7,user1,187
group6,user4,71
group6,user2,99
group6,user3,152
group6,user1,148
group1,user6,2
group1,user4,6
group1,user5,22
group1,user2,22
group1,user3,29
group1,user1,49
group3,user6,2
group3,user4,34
group3,user5,2
group3,user2,55
group3,user3,88
group3,user1,40
group2,user4,20
group2,user5,13
group2,user2,1
group2,user3,69
group2,user1,17
group9,user4,22
group9,user5,24
group9,user2,25
group9,user3,1
group9,user1,157
group8,user4,132
group8,user2,187
group8,user3,238
group8,user1,79
