groupID,user4,user2,user3,user1
11,5,3,9,25
groupID,user4,user5,user2,user3,user1
10,3,13,7,7,23
groupID,user4,user2,user3,user1
13,8,21,4,19
groupID,user4,user5,user2,user3,user1
12,10,6,7,27,8
groupID,user3,user1
14,3,2
groupID,user4,user5,user2,user3,user1
1,3,22,4,8,11
groupID,user3,user1
3,3,3
groupID,user4,user5,user3,user1
2,7,4,14,4
groupID,user4,user2,user3,user1
5,10,2,4,10
groupID,user4,user2,user3,user1
4,8,21,30,16
groupID,user4,user2,user3,user1
7,2,4,3,6
groupID,user4,user2,user3,user1
6,14,42,23,24
groupID,user4,user5,user2,user1
9,3,14,3,40
groupID,user4,user2,user3,user1
8,11,47,15,24
