groupID,user4,user2,user3,user1
11,4,5,8,6
groupID,user6,user4,user5,user2,user3,user1
10,1,6,9,3,6,20
groupID,user4,user2,user3,user1
13,1,15,3,10
groupID,user4,user2,user3,user1
12,5,14,2,1
groupID,user4,user2,user3,user1
14,4,11,12,17
groupID,user6,user4,user5,user2,user3,user1
1,1,1,1,3,2,7
groupID,user4,user2,user3,user1
3,2,2,3,3
groupID,user4,user5,user2,user1
2,3,3,3,4
groupID,user4,user2,user3,user1
5,5,3,3,12
groupID,user4,user2,user3,user1
4,12,24,34,17
groupID,user4,user2,user3,user1
7,2,3,1,6
groupID,user4,user2,user3,user1
6,19,7,15,24
groupID,user4,user5,user2,user1
9,9,7,7,14
groupID,user4,user2,user3,user1
8,15,18,25,12
