groupID,user4,user2,user3,user1
11,4,3,9,15
groupID,user4,user5,user2,user3,user1
10,7,10,7,2,17
groupID,user4,user2,user3,user1
13,8,19,4,15
groupID,user4,user5,user2,user3,user1
12,9,5,24,7,8
groupID,user2,user3,user1
14,20,12,20
groupID,user4,user5,user2,user3,user1
1,3,10,3,4,8
groupID,user4,user2,user3,user1
3,17,15,25,20
groupID,user4,user5,user2,user1
2,7,2,4,14
groupID,user4,user2,user3,user1
5,4,2,6,9
groupID,user4,user2,user3,user1
4,5,18,29,15
groupID,user4,user2,user3,user1
7,15,34,16,53
groupID,user4,user2,user3,user1
6,11,24,19,21
groupID,user4,user5,user2,user1
9,2,9,3,37
groupID,user4,user2,user3,user1
8,11,51,18,25
