group_id,total milestones,missing due day,unclosed,percentage missing due,percentage of unclosed
group1,17,4,1,0.23529411764705882,0.058823529411764705
group2,8,2,0,0.25,0.0
group3,10,2,0,0.2,0.0
group4,19,5,7,0.2631578947368421,0.3684210526315789
group5,7,1,3,0.14285714285714285,0.42857142857142855
group6,5,1,1,0.2,0.2
group7,9,0,0,0.0,0.0
group8,4,1,0,0.25,0.0
group9,9,2,0,0.2222222222222222,0.0
group10,6,2,0,0.3333333333333333,0.0
group11,3,0,1,0.0,0.3333333333333333
group12,12,1,1,0.08333333333333333,0.08333333333333333
group13,16,8,8,0.5,0.5
group14,7,1,0,0.14285714285714285,0.0
